,algorithm,dataset,language,phase,duration,energy_consumed,emissions,emissions_rate,cpu_power,cpu_energy
147,logisticRegression,wine,matlab,train,0.3202179034550985,4.0462784038649666e-06,9.1525198984064e-07,2.8582143398023965e-06,42.5,3.77964198589325e-06
148,logisticRegression,wine,python,test,0.0021738449732462066,2.4984007632290878e-08,4.7166171670748265e-09,2.2425248039258223e-06,42.5,2.3690368290300724e-08
149,logisticRegression,wine,python,train,0.09653871854146318,1.218630118502511e-06,2.55510133119541e-07,2.66703952599273e-06,42.5,1.1384754876295728e-06
150,naiveBayes,breastCancer,R,test,0.04210224151611324,5.31231572230657e-07,1.159853482493765e-07,2.759925875355084e-06,42.5,4.963290856944191e-07
151,naiveBayes,breastCancer,R,train,0.01372737089792883,1.718914365326917e-07,3.888115537794873e-08,2.8317983349920753e-06,42.5,1.6076956082273413e-07
152,naiveBayes,breastCancer,cpp,test,0.0015172860334132,1.809283704374644e-08,5.4854362502157346e-09,3.7748121914058555e-06,42.5,1.7031236321448283e-08
153,naiveBayes,breastCancer,cpp,train,0.0011926221337489199,1.3857717350624122e-08,4.582996566763708e-09,3.7707607238316583e-06,42.5,1.3096362017171892e-08
154,naiveBayes,breastCancer,java,test,0.0009049892425536567,1.0680356511363278e-08,2.183122027963766e-09,2.4898723161413127e-06,42.5,1.0161968293013398e-08
155,naiveBayes,breastCancer,java,train,0.0009313424428303468,1.1016382111443415e-08,2.367886763205891e-09,2.5828209894910948e-06,42.5,1.0468297534518773e-08
156,naiveBayes,breastCancer,matlab,test,0.06704329649607337,8.463860617743599e-07,1.9144914162911312e-07,2.855592473748108e-06,42.5,7.907364434666105e-07
157,naiveBayes,breastCancer,matlab,train,0.06973423163096105,8.804316277857181e-07,1.9915011247861829e-07,2.8552082598077897e-06,42.5,8.225260067869116e-07
158,naiveBayes,breastCancer,python,test,0.0019848187764485202,2.240973269497907e-08,4.896746213174064e-09,2.467180172869122e-06,42.5,2.1284112223872432e-08
